INSERT INTO order_items (order_item_id, order_id, product_id, quantity, unit_price, line_total) VALUES
(5208, 1730, 100, 1, 99.49, 99.49),
(5209, 1731, 73, 1, 99.9, 99.9),
(5210, 1732, 9, 2, 104.51, 209.02),
(5211, 1733, 83, 1, 92.79, 92.79),
(5212, 1734, 84, 2, 121.18, 242.36),
(5213, 1735, 34, 2, 137.45, 274.9),
(5214, 1735, 8, 1, 16.91, 16.91),
(5215, 1735, 99, 1, 22.03, 22.03),
(5216, 1735, 45, 2, 95.04, 190.08),
(5217, 1735, 88, 1, 236.17, 236.17),
(5218, 1736, 87, 2, 122.48, 244.96),
(5219, 1736, 7, 1, 92.4, 92.4),
(5220, 1736, 82, 2, 137.6, 275.2),
(5221, 1736, 55, 2, 195.65, 391.3),
(5222, 1737, 61, 1, 59.88, 59.88),
(5223, 1737, 7, 1, 92.4, 92.4),
(5224, 1737, 72, 2, 202.94, 405.88),
(5225, 1737, 4, 1, 4.73, 4.73),
(5226, 1738, 96, 2, 204.68, 409.36),
(5227, 1739, 79, 1, 157.18, 157.18),
(5228, 1740, 19, 2, 15.74, 31.48),
(5229, 1740, 57, 1, 119.96, 119.96),
(5230, 1741, 33, 1, 196.95, 196.95),
(5231, 1741, 69, 1, 253.24, 253.24),
(5232, 1741, 24, 1, 96.84, 96.84),
(5233, 1742, 27, 1, 7.83, 7.83),
(5234, 1742, 61, 1, 59.88, 59.88),
(5235, 1743, 95, 1, 11.97, 11.97),
(5236, 1744, 99, 1, 22.03, 22.03),
(5237, 1744, 42, 2, 185.19, 370.38),
(5238, 1744, 93, 1, 240.53, 240.53),
(5239, 1745, 3, 1, 31.12, 31.12),
(5240, 1745, 99, 1, 22.03, 22.03),
(5241, 1745, 55, 2, 195.65, 391.3),
(5242, 1745, 97, 2, 163.05, 326.1),
(5243, 1746, 9, 1, 104.51, 104.51),
(5244, 1747, 44, 1, 108.52, 108.52),
(5245, 1747, 97, 1, 163.05, 163.05),
(5246, 1747, 49, 1, 93.93, 93.93),
(5247, 1747, 90, 1, 165.04, 165.04),
(5248, 1748, 84, 1, 121.18, 121.18),
(5249, 1748, 100, 1, 99.49, 99.49),
(5250, 1749, 81, 2, 148.5, 297),
(5251, 1749, 42, 1, 185.19, 185.19),
(5252, 1750, 10, 1, 24.92, 24.92),
(5253, 1750, 72, 1, 202.94, 202.94),
(5254, 1750, 87, 1, 122.48, 122.48),
(5255, 1750, 49, 2, 93.93, 187.86),
(5256, 1751, 94, 1, 17.07, 17.07),
(5257, 1751, 49, 1, 93.93, 93.93),
(5258, 1751, 2, 1, 286.27, 286.27),
(5259, 1751, 40, 2, 16.1, 32.2),
(5260, 1751, 89, 1, 7.79, 7.79),
(5261, 1752, 28, 1, 98.21, 98.21),
(5262, 1752, 41, 1, 50.54, 50.54),
(5263, 1753, 13, 1, 230.5, 230.5),
(5264, 1753, 37, 2, 170.71, 341.42),
(5265, 1753, 77, 1, 20.31, 20.31),
(5266, 1753, 96, 1, 204.68, 204.68),
(5267, 1754, 54, 2, 326.63, 653.26),
(5268, 1754, 28, 1, 98.21, 98.21),
(5269, 1754, 72, 1, 202.94, 202.94),
(5270, 1754, 29, 1, 83.33, 83.33),
(5271, 1755, 92, 1, 21.99, 21.99),
(5272, 1755, 34, 2, 137.45, 274.9),
(5273, 1755, 23, 1, 29.6, 29.6),
(5274, 1755, 16, 2, 15.29, 30.58),
(5275, 1755, 72, 2, 202.94, 405.88),
(5276, 1756, 18, 1, 214.03, 214.03),
(5277, 1757, 22, 1, 8.68, 8.68),
(5278, 1757, 4, 1, 4.73, 4.73),
(5279, 1757, 54, 2, 326.63, 653.26),
(5280, 1757, 28, 1, 98.21, 98.21),
(5281, 1757, 34, 1, 137.45, 137.45),
(5282, 1758, 20, 1, 239.67, 239.67),
(5283, 1758, 25, 1, 5.04, 5.04),
(5284, 1759, 11, 1, 66.68, 66.68),
(5285, 1759, 91, 1, 87.73, 87.73),
(5286, 1759, 31, 1, 31.59, 31.59),
(5287, 1759, 52, 1, 109.19, 109.19),
(5288, 1760, 52, 1, 109.19, 109.19),
(5289, 1761, 13, 1, 230.5, 230.5),
(5290, 1761, 27, 1, 7.83, 7.83),
(5291, 1761, 29, 1, 83.33, 83.33),
(5292, 1762, 31, 1, 31.59, 31.59),
(5293, 1762, 73, 1, 99.9, 99.9),
(5294, 1762, 7, 1, 92.4, 92.4),
(5295, 1763, 63, 1, 18.63, 18.63),
(5296, 1763, 47, 1, 65.22, 65.22),
(5297, 1763, 6, 1, 47.27, 47.27),
(5298, 1763, 12, 1, 210, 210),
(5299, 1764, 83, 1, 92.79, 92.79),
(5300, 1764, 21, 1, 31.11, 31.11),
(5301, 1764, 8, 1, 16.91, 16.91),
(5302, 1765, 63, 2, 18.63, 37.26),
(5303, 1766, 85, 1, 101.27, 101.27),
(5304, 1766, 19, 2, 15.74, 31.48),
(5305, 1767, 2, 2, 286.27, 572.54),
(5306, 1767, 19, 1, 15.74, 15.74),
(5307, 1768, 88, 2, 236.17, 472.34),
(5308, 1769, 45, 1, 95.04, 95.04),
(5309, 1769, 40, 2, 16.1, 32.2),
(5310, 1769, 61, 1, 59.88, 59.88),
(5311, 1769, 26, 1, 7.06, 7.06),
(5312, 1769, 41, 1, 50.54, 50.54),
(5313, 1770, 1, 1, 49.01, 49.01),
(5314, 1770, 57, 2, 119.96, 239.92),
(5315, 1770, 38, 1, 13.31, 13.31),
(5316, 1770, 15, 1, 28.1, 28.1),
(5317, 1771, 39, 1, 30.14, 30.14),
(5318, 1771, 9, 1, 104.51, 104.51),
(5319, 1771, 63, 1, 18.63, 18.63),
(5320, 1772, 4, 2, 4.73, 9.46),
(5321, 1773, 36, 1, 246.85, 246.85),
(5322, 1773, 93, 1, 240.53, 240.53),
(5323, 1773, 53, 2, 70.73, 141.46),
(5324, 1773, 62, 1, 73.1, 73.1),
(5325, 1774, 75, 1, 31.87, 31.87),
(5326, 1775, 87, 1, 122.48, 122.48),
(5327, 1775, 93, 1, 240.53, 240.53),
(5328, 1776, 2, 1, 286.27, 286.27),
(5329, 1776, 56, 2, 8.62, 17.24),
(5330, 1777, 75, 2, 31.87, 63.74),
(5331, 1778, 15, 2, 28.1, 56.2),
(5332, 1778, 40, 1, 16.1, 16.1),
(5333, 1778, 32, 1, 17.58, 17.58),
(5334, 1778, 66, 1, 45.11, 45.11),
(5335, 1778, 59, 1, 143.04, 143.04),
(5336, 1779, 92, 1, 21.99, 21.99),
(5337, 1779, 61, 2, 59.88, 119.76),
(5338, 1780, 9, 1, 104.51, 104.51),
(5339, 1780, 88, 1, 236.17, 236.17),
(5340, 1780, 30, 1, 22.73, 22.73),
(5341, 1781, 75, 1, 31.87, 31.87),
(5342, 1782, 37, 1, 170.71, 170.71),
(5343, 1782, 10, 2, 24.92, 49.84),
(5344, 1783, 60, 2, 121.26, 242.52),
(5345, 1783, 69, 2, 253.24, 506.48),
(5346, 1783, 62, 1, 73.1, 73.1),
(5347, 1784, 61, 1, 59.88, 59.88),
(5348, 1784, 82, 1, 137.6, 137.6),
(5349, 1785, 2, 2, 286.27, 572.54),
(5350, 1785, 67, 2, 241.51, 483.02),
(5351, 1785, 68, 1, 43.1, 43.1),
(5352, 1785, 7, 1, 92.4, 92.4),
(5353, 1786, 28, 1, 98.21, 98.21),
(5354, 1786, 98, 1, 29.1, 29.1),
(5355, 1786, 56, 1, 8.62, 8.62),
(5356, 1786, 26, 1, 7.06, 7.06),
(5357, 1787, 36, 1, 246.85, 246.85),
(5358, 1787, 73, 1, 99.9, 99.9),
(5359, 1788, 90, 1, 165.04, 165.04),
(5360, 1788, 100, 1, 99.49, 99.49),
(5361, 1788, 72, 2, 202.94, 405.88),
(5362, 1788, 14, 1, 28.77, 28.77),
(5363, 1789, 98, 1, 29.1, 29.1),
(5364, 1789, 67, 1, 241.51, 241.51),
(5365, 1789, 59, 1, 143.04, 143.04),
(5366, 1789, 52, 2, 109.19, 218.38),
(5367, 1790, 79, 1, 157.18, 157.18),
(5368, 1790, 82, 1, 137.6, 137.6),
(5369, 1790, 29, 1, 83.33, 83.33),
(5370, 1790, 78, 1, 71.33, 71.33),
(5371, 1791, 41, 1, 50.54, 50.54),
(5372, 1791, 32, 1, 17.58, 17.58),
(5373, 1791, 100, 2, 99.49, 198.98),
(5374, 1791, 54, 2, 326.63, 653.26),
(5375, 1791, 76, 1, 88, 88),
(5376, 1792, 50, 2, 10.62, 21.24),
(5377, 1792, 63, 1, 18.63, 18.63),
(5378, 1792, 5, 2, 57.22, 114.44),
(5379, 1793, 43, 1, 118.81, 118.81),
(5380, 1793, 52, 2, 109.19, 218.38),
(5381, 1793, 24, 1, 96.84, 96.84),
(5382, 1793, 28, 1, 98.21, 98.21),
(5383, 1793, 58, 2, 23.16, 46.32),
(5384, 1794, 38, 1, 13.31, 13.31),
(5385, 1794, 10, 1, 24.92, 24.92),
(5386, 1794, 90, 1, 165.04, 165.04),
(5387, 1794, 53, 2, 70.73, 141.46),
(5388, 1795, 62, 1, 73.1, 73.1),
(5389, 1795, 92, 1, 21.99, 21.99),
(5390, 1795, 64, 1, 45.06, 45.06),
(5391, 1795, 68, 2, 43.1, 86.2),
(5392, 1796, 5, 1, 57.22, 57.22),
(5393, 1796, 37, 1, 170.71, 170.71),
(5394, 1796, 17, 1, 42.64, 42.64),
(5395, 1796, 35, 2, 169.71, 339.42),
(5396, 1797, 30, 1, 22.73, 22.73),
(5397, 1798, 2, 1, 286.27, 286.27),
(5398, 1798, 66, 1, 45.11, 45.11),
(5399, 1798, 94, 1, 17.07, 17.07),
(5400, 1798, 49, 2, 93.93, 187.86),
(5401, 1798, 41, 1, 50.54, 50.54),
(5402, 1799, 87, 2, 122.48, 244.96),
(5403, 1799, 61, 1, 59.88, 59.88),
(5404, 1800, 86, 2, 158.05, 316.1),
(5405, 1800, 96, 1, 204.68, 204.68),
(5406, 1800, 97, 2, 163.05, 326.1),
(5407, 1800, 1, 1, 49.01, 49.01),
(5408, 1801, 53, 2, 70.73, 141.46),
(5409, 1802, 28, 1, 98.21, 98.21),
(5410, 1802, 30, 2, 22.73, 45.46),
(5411, 1802, 98, 1, 29.1, 29.1),
(5412, 1803, 68, 1, 43.1, 43.1),
(5413, 1803, 70, 1, 64.53, 64.53),
(5414, 1804, 25, 1, 5.04, 5.04),
(5415, 1805, 84, 2, 121.18, 242.36),
(5416, 1805, 96, 1, 204.68, 204.68),
(5417, 1806, 6, 1, 47.27, 47.27),
(5418, 1807, 57, 1, 119.96, 119.96),
(5419, 1807, 90, 1, 165.04, 165.04),
(5420, 1808, 77, 1, 20.31, 20.31),
(5421, 1808, 50, 1, 10.62, 10.62),
(5422, 1808, 62, 1, 73.1, 73.1),
(5423, 1809, 39, 2, 30.14, 60.28),
(5424, 1809, 27, 1, 7.83, 7.83),
(5425, 1809, 72, 1, 202.94, 202.94),
(5426, 1810, 99, 1, 22.03, 22.03),
(5427, 1810, 62, 1, 73.1, 73.1),
(5428, 1810, 67, 2, 241.51, 483.02),
(5429, 1810, 55, 1, 195.65, 195.65),
(5430, 1810, 30, 1, 22.73, 22.73),
(5431, 1811, 44, 1, 108.52, 108.52),
(5432, 1811, 93, 1, 240.53, 240.53),
(5433, 1811, 20, 1, 239.67, 239.67),
(5434, 1812, 22, 1, 8.68, 8.68),
(5435, 1812, 72, 2, 202.94, 405.88),
(5436, 1812, 4, 1, 4.73, 4.73),
(5437, 1812, 30, 1, 22.73, 22.73),
(5438, 1812, 41, 2, 50.54, 101.08),
(5439, 1813, 79, 1, 157.18, 157.18),
(5440, 1813, 62, 1, 73.1, 73.1),
(5441, 1813, 89, 1, 7.79, 7.79),
(5442, 1813, 99, 1, 22.03, 22.03),
(5443, 1814, 19, 2, 15.74, 31.48),
(5444, 1814, 96, 1, 204.68, 204.68),
(5445, 1815, 39, 2, 30.14, 60.28),
(5446, 1815, 35, 1, 169.71, 169.71),
(5447, 1815, 32, 1, 17.58, 17.58),
(5448, 1815, 33, 1, 196.95, 196.95),
(5449, 1816, 21, 1, 31.11, 31.11),
(5450, 1816, 3, 1, 31.12, 31.12),
(5451, 1816, 46, 1, 117.54, 117.54),
(5452, 1816, 32, 1, 17.58, 17.58),
(5453, 1816, 50, 1, 10.62, 10.62),
(5454, 1817, 41, 1, 50.54, 50.54),
(5455, 1818, 29, 2, 83.33, 166.66),
(5456, 1818, 31, 1, 31.59, 31.59),
(5457, 1819, 74, 2, 15.23, 30.46),
(5458, 1819, 92, 1, 21.99, 21.99),
(5459, 1820, 90, 1, 165.04, 165.04),
(5460, 1820, 47, 1, 65.22, 65.22),
(5461, 1820, 37, 2, 170.71, 341.42),
(5462, 1821, 80, 1, 42.94, 42.94),
(5463, 1821, 23, 1, 29.6, 29.6),
(5464, 1821, 91, 1, 87.73, 87.73),
(5465, 1821, 66, 1, 45.11, 45.11),
(5466, 1821, 78, 1, 71.33, 71.33),
(5467, 1822, 98, 1, 29.1, 29.1),
(5468, 1823, 95, 2, 11.97, 23.94),
(5469, 1823, 41, 2, 50.54, 101.08),
(5470, 1823, 3, 1, 31.12, 31.12),
(5471, 1823, 48, 1, 13.88, 13.88),
(5472, 1823, 90, 2, 165.04, 330.08),
(5473, 1824, 20, 1, 239.67, 239.67),
(5474, 1824, 43, 1, 118.81, 118.81),
(5475, 1824, 31, 1, 31.59, 31.59),
(5476, 1824, 1, 1, 49.01, 49.01),
(5477, 1825, 14, 1, 28.77, 28.77),
(5478, 1825, 74, 2, 15.23, 30.46),
(5479, 1826, 50, 1, 10.62, 10.62),
(5480, 1826, 19, 1, 15.74, 15.74),
(5481, 1827, 70, 1, 64.53, 64.53),
(5482, 1827, 89, 1, 7.79, 7.79),
(5483, 1827, 29, 2, 83.33, 166.66),
(5484, 1827, 30, 1, 22.73, 22.73),
(5485, 1828, 62, 2, 73.1, 146.2),
(5486, 1828, 24, 1, 96.84, 96.84),
(5487, 1828, 93, 1, 240.53, 240.53),
(5488, 1829, 58, 2, 23.16, 46.32),
(5489, 1830, 7, 2, 92.4, 184.8),
(5490, 1830, 75, 1, 31.87, 31.87),
(5491, 1830, 71, 1, 129.35, 129.35),
(5492, 1831, 33, 1, 196.95, 196.95),
(5493, 1831, 62, 1, 73.1, 73.1),
(5494, 1831, 64, 1, 45.06, 45.06),
(5495, 1831, 25, 1, 5.04, 5.04),
(5496, 1831, 79, 2, 157.18, 314.36),
(5497, 1832, 95, 1, 11.97, 11.97),
(5498, 1833, 45, 1, 95.04, 95.04),
(5499, 1833, 24, 1, 96.84, 96.84),
(5500, 1834, 12, 1, 210, 210);
